RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
1014,20220216,F,40대,전라북도,300만원 미만,8,16,72,10,10,80,0,0
1447,20220216,M,40대,대전광역시,500이상700만원 미만,3,8,31,25,15,25,35,0
2703,20220216,F,50대,경기도,500이상700만원 미만,4,3,26,20,10,10,60,0
2765,20220216,M,60대,경상남도,300이상500만원 미만,4,7,34,50,10,5,35,0
2813,20220216,M,60대,충청남도,500이상700만원 미만,5,11,47,20,5,10,50,15
3445,20220216,M,40대,부산광역시,무응답,5,8,41,90,0,10,0,0
3473,20220216,F,30대,서울특별시,300이상500만원 미만,5,8,41,90,0,0,10,0
5787,20220216,F,50대,서울특별시,700만원 이상,3,3,21,40,20,10,30,0
5834,20220216,M,40대,충청북도,500이상700만원 미만,2,2,14,100,0,0,0,0
6686,20220216,F,60대,경기도,700만원 이상,3,5,25,30,10,30,25,5
7484,20220216,F,30대,대구광역시,700만원 이상,2,6,22,50,10,10,30,0
7769,20220216,F,40대,경기도,700만원 이상,2,8,26,20,10,10,20,40
8422,20220216,F,30대,경기도,300이상500만원 미만,5,15,55,70,15,10,5,0
8719,20220216,F,30대,인천광역시,700만원 이상,1,3,11,20,20,20,40,0
9610,20220216,M,50대,전라남도,300이상500만원 미만,2,4,18,60,0,0,40,0
9683,20220216,M,30대,대구광역시,300만원 미만,1,4,13,40,0,60,0,0
10979,20220216,F,40대,서울특별시,700만원 이상,3,5,25,30,10,10,50,0
19178,20220216,F,60대,광주광역시,300이상500만원 미만,6,6,42,30,10,10,50,0
19390,20220216,F,40대,울산광역시,300이상500만원 미만,5,6,37,50,10,10,30,0
20726,20220216,F,50대,부산광역시,700만원 이상,3,8,31,40,20,10,10,20
21968,20220216,M,50대,대구광역시,700만원 이상,2,4,18,40,30,0,30,0
22576,20220216,M,50대,강원도,300이상500만원 미만,2,4,18,20,20,10,50,0
26694,20220216,M,50대,강원도,300이상500만원 미만,2,3,16,20,70,0,10,0
26999,20220216,M,50대,경상북도,300이상500만원 미만,2,4,18,85,0,10,5,0
27374,20220216,F,40대,경기도,300이상500만원 미만,5,5,35,60,0,30,10,0
30043,20220216,M,50대,울산광역시,700만원 이상,1,3,11,50,30,0,20,0
30139,20220216,M,60대,부산광역시,300만원 미만,5,13,51,100,0,0,0,0
31791,20220216,M,40대,충청남도,700만원 이상,3,5,25,0,60,10,30,0
31848,20220216,F,60대,경기도,500이상700만원 미만,3,3,21,30,40,30,0,0
32970,20220216,F,30대,충청북도,300이상500만원 미만,3,2,19,50,0,20,30,0
33818,20220216,M,60대,인천광역시,300이상500만원 미만,2,4,18,50,20,10,20,0
37074,20220216,M,60대,제주특별자치도,700만원 이상,8,6,52,60,10,0,30,0
37312,20220216,M,60대,부산광역시,300이상500만원 미만,3,5,25,30,20,20,30,0
39282,20220216,F,60대,서울특별시,300이상500만원 미만,3,5,25,20,0,20,10,50
42242,20220216,F,30대,대구광역시,300이상500만원 미만,2,3,16,50,30,15,5,0
42339,20220216,F,30대,서울특별시,300이상500만원 미만,4,10,40,60,10,10,20,0
43492,20220216,M,50대,경기도,500이상700만원 미만,3,3,21,20,20,30,30,0
43718,20220216,F,60대,경기도,500이상700만원 미만,3,3,21,40,35,10,15,0
45997,20220216,F,40대,충청북도,300이상500만원 미만,2,3,16,30,10,30,30,0
48928,20220216,M,30대,부산광역시,500이상700만원 미만,2,10,30,50,0,40,10,0
52784,20220216,M,50대,인천광역시,700만원 이상,2,5,20,60,10,10,20,0
52962,20220216,F,60대,경기도,300이상500만원 미만,8,6,52,30,10,30,30,0
53073,20220216,F,40대,서울특별시,300이상500만원 미만,3,8,31,90,0,0,10,0
53158,20220216,F,50대,경기도,500이상700만원 미만,1,2,9,70,20,10,0,0
55334,20220216,F,60대,강원도,300이상500만원 미만,1,1,7,50,50,0,0,0
59425,20220216,M,40대,서울특별시,700만원 이상,5,8,41,60,0,40,0,0
59975,20220216,F,40대,경기도,300만원 미만,1,1,7,20,20,20,40,0
60535,20220216,M,40대,서울특별시,500이상700만원 미만,2,5,20,50,10,20,20,0
61648,20220216,M,40대,인천광역시,700만원 이상,3,8,31,10,0,10,80,0
70287,20220216,F,50대,서울특별시,700만원 이상,2,6,22,50,0,10,40,0
70506,20220216,M,60대,인천광역시,500이상700만원 미만,4,16,52,80,0,0,20,0
71435,20220216,M,50대,경기도,700만원 이상,4,8,36,10,20,30,40,0
72981,20220216,F,60대,서울특별시,300만원 미만,4,6,32,20,30,30,20,0
73790,20220216,M,50대,충청남도,300이상500만원 미만,1,1,7,50,20,20,10,0
74663,20220216,M,60대,전라북도,500이상700만원 미만,1,5,15,30,20,0,50,0
82622,20220216,M,40대,울산광역시,700만원 이상,4,4,28,40,30,20,10,0
82670,20220216,M,40대,전라남도,500이상700만원 미만,3,5,25,50,20,0,30,0
84034,20220216,M,50대,울산광역시,300이상500만원 미만,4,8,36,30,50,10,10,0
86201,20220216,F,20대,서울특별시,300이상500만원 미만,2,10,30,60,10,20,10,0
86493,20220216,M,30대,부산광역시,500이상700만원 미만,2,5,20,20,30,10,40,0
87456,20220216,F,50대,서울특별시,700만원 이상,4,4,28,20,30,20,30,0
87945,20220216,F,50대,전라남도,500이상700만원 미만,2,5,20,0,100,0,0,0
90051,20220216,F,30대,부산광역시,300만원 미만,1,3,11,80,5,0,15,0
90873,20220216,F,40대,대구광역시,300만원 미만,5,8,41,100,0,0,0,0
91668,20220216,M,60대,부산광역시,300이상500만원 미만,3,4,23,40,20,20,20,0
93068,20220216,M,30대,울산광역시,700만원 이상,4,12,44,40,20,20,20,0
93131,20220216,M,30대,광주광역시,300만원 미만,2,6,22,50,10,10,30,0
101633,20220216,F,40대,전라북도,300만원 미만,2,1,12,0,0,50,50,0
107013,20220216,F,50대,경기도,300만원 미만,1,2,9,20,10,10,60,0
107964,20220216,M,50대,대구광역시,500이상700만원 미만,3,3,21,10,10,50,30,0
108453,20220216,F,60대,경기도,300만원 미만,6,6,42,20,25,25,30,0
111195,20220216,M,50대,부산광역시,300만원 미만,6,10,50,20,20,10,50,0
113122,20220216,M,60대,경상북도,300만원 미만,3,5,25,85,10,5,0,0
114579,20220216,F,40대,서울특별시,700만원 이상,1,2,9,30,50,20,0,0
114621,20220216,F,50대,대전광역시,300이상500만원 미만,7,7,49,100,0,0,0,0
117688,20220216,F,60대,서울특별시,700만원 이상,3,7,29,40,30,10,20,0
124427,20220216,M,30대,전라북도,300이상500만원 미만,3,8,31,60,20,0,20,0
135943,20220216,F,40대,경기도,700만원 이상,1,6,17,50,10,10,30,0
139467,20220216,M,40대,인천광역시,500이상700만원 미만,2,5,20,60,30,0,10,0
142623,20220216,M,40대,부산광역시,500이상700만원 미만,1,3,11,20,20,60,0,0
144082,20220216,M,40대,대전광역시,700만원 이상,2,3,16,70,10,0,20,0
145087,20220216,F,50대,경기도,300만원 미만,4,0,20,50,30,0,20,0
147287,20220216,F,60대,충청남도,300만원 미만,3,3,21,45,20,20,15,0
149452,20220216,F,20대,전라남도,700만원 이상,2,6,22,20,50,10,20,0
151677,20220216,F,60대,전라북도,700만원 이상,3,5,25,25,15,40,20,0
151871,20220216,M,60대,충청남도,700만원 이상,2,4,18,0,0,60,40,0
155750,20220216,F,50대,서울특별시,300이상500만원 미만,1,2,9,50,0,0,50,0
160938,20220216,M,60대,경상북도,300만원 미만,6,12,54,30,10,0,20,40
161977,20220216,F,40대,충청북도,700만원 이상,3,6,27,50,20,10,20,0
162532,20220216,F,30대,충청남도,300만원 미만,2,3,16,20,10,30,40,0
163563,20220216,M,60대,경상북도,300만원 미만,2,3,16,30,30,25,15,0
163785,20220216,F,60대,제주특별자치도,300이상500만원 미만,1,3,11,80,0,15,5,0
164123,20220216,M,60대,대구광역시,500이상700만원 미만,1,1,7,50,20,20,10,0
164462,20220216,F,60대,경기도,300만원 미만,12,12,84,5,5,60,10,20
164675,20220216,M,50대,대전광역시,500이상700만원 미만,2,8,26,60,20,0,20,0
166459,20220216,F,40대,경기도,700만원 이상,1,5,15,50,10,30,10,0
168265,20220216,M,40대,충청남도,300이상500만원 미만,1,4,13,50,30,0,20,0
170806,20220216,F,30대,부산광역시,300만원 미만,2,6,22,20,10,40,30,0
173067,20220216,F,30대,전라북도,300만원 미만,4,14,48,90,2,8,0,0
174283,20220216,F,30대,경기도,300이상500만원 미만,3,3,21,20,70,10,0,0
175800,20220216,M,20대,경상남도,무응답,1,1,7,100,0,0,0,0
176068,20220216,M,40대,광주광역시,500이상700만원 미만,3,4,23,25,25,25,25,0
176565,20220216,M,60대,경상북도,300이상500만원 미만,3,8,31,20,40,30,10,0
178551,20220216,F,40대,전라북도,500이상700만원 미만,0,2,4,0,0,0,0,100
180556,20220216,M,50대,경상남도,300이상500만원 미만,4,10,40,50,10,10,30,0
180993,20220216,F,40대,서울특별시,300만원 미만,6,6,42,60,10,20,10,0
