RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322231,20220921,M,20대,서울특별시,300만원 미만,2,3,16,70,0,0,30,0
53322264,20220921,F,50대,서울특별시,300이상500만원 미만,2,8,26,30,20,20,30,0
53322322,20220921,F,40대,서울특별시,300만원 미만,2,5,20,70,5,5,20,0
53322370,20220921,F,40대,서울특별시,700만원 이상,5,7,39,20,10,30,40,0
53322440,20220921,F,50대,서울특별시,700만원 이상,2,4,18,0,40,50,10,0
53322446,20220921,M,50대,서울특별시,300만원 미만,2,5,20,30,30,20,20,0
53322483,20220921,F,60대,서울특별시,300만원 미만,2,3,16,50,30,10,10,0
53322560,20220921,M,20대,서울특별시,300만원 미만,1,3,11,0,0,0,0,100
53322733,20220921,M,30대,서울특별시,300이상500만원 미만,5,8,41,40,0,30,30,0
53322952,20220921,F,50대,서울특별시,700만원 이상,2,2,14,20,20,20,20,20
53322987,20220921,M,20대,서울특별시,700만원 이상,2,2,14,100,0,0,0,0
53323037,20220921,F,20대,서울특별시,700만원 이상,5,10,45,70,10,10,10,0
53323089,20220921,F,60대,서울특별시,300이상500만원 미만,4,4,28,60,0,0,40,0
53323124,20220921,F,20대,서울특별시,무응답,5,1,27,50,0,0,50,0
53323160,20220921,F,60대,서울특별시,500이상700만원 미만,2,3,16,20,80,0,0,0
53323421,20220921,M,20대,서울특별시,300이상500만원 미만,10,16,82,30,40,10,20,0
53323528,20220921,M,20대,서울특별시,700만원 이상,3,10,35,70,0,10,20,0
53323636,20220921,F,30대,서울특별시,300만원 미만,1,3,11,40,20,10,30,0
53323722,20220921,M,50대,서울특별시,700만원 이상,2,6,22,30,50,0,20,0
53323784,20220921,F,50대,서울특별시,700만원 이상,2,1,12,20,40,30,10,0
53323791,20220921,M,60대,서울특별시,300만원 미만,8,8,56,40,0,10,50,0
53323966,20220921,F,60대,서울특별시,300만원 미만,5,6,37,60,10,10,10,10
53324102,20220921,M,60대,서울특별시,300이상500만원 미만,10,10,70,50,20,10,20,0
53324231,20220921,F,60대,서울특별시,300이상500만원 미만,5,4,33,20,50,10,20,0
53324509,20220921,M,20대,서울특별시,300이상500만원 미만,3,6,27,0,40,0,60,0
53324726,20220921,F,60대,서울특별시,300이상500만원 미만,3,5,25,20,20,50,10,0
53325237,20220921,M,60대,서울특별시,500이상700만원 미만,6,7,44,30,50,10,10,0
53325671,20220921,F,30대,경기도,500이상700만원 미만,2,6,22,30,20,10,40,0
53325694,20220921,M,50대,경기도,300이상500만원 미만,3,0,15,50,10,0,40,0
53325760,20220921,M,40대,경상북도,500이상700만원 미만,2,2,14,0,80,0,20,0
53325888,20220921,M,40대,제주특별자치도,700만원 이상,0,3,6,30,30,10,30,0
53325968,20220921,M,50대,서울특별시,300이상500만원 미만,1,3,11,30,20,10,40,0
53326064,20220921,M,30대,전라남도,300만원 미만,1,1,7,80,10,10,0,0
53326084,20220921,F,40대,인천광역시,300만원 미만,2,2,14,70,20,5,5,0
53326087,20220921,M,60대,인천광역시,300만원 미만,2,6,22,20,0,0,0,80
53326429,20220921,M,30대,광주광역시,700만원 이상,1,1,7,60,10,0,30,0
53326442,20220921,M,40대,경기도,300이상500만원 미만,1,4,13,10,20,20,50,0
53326668,20220921,M,50대,부산광역시,300만원 미만,2,14,38,50,20,10,20,0
53326677,20220921,F,20대,광주광역시,300만원 미만,2,5,20,50,0,0,50,0
53326685,20220921,F,40대,경기도,300이상500만원 미만,4,5,30,50,0,0,50,0
53326696,20220921,M,30대,경기도,700만원 이상,1,2,9,50,30,20,0,0
53326759,20220921,M,40대,경기도,500이상700만원 미만,0,3,6,40,0,0,0,60
53326915,20220921,M,20대,경기도,700만원 이상,2,10,30,30,10,10,50,0
53326922,20220921,M,20대,울산광역시,무응답,1,5,15,100,0,0,0,0
53327178,20220921,M,60대,부산광역시,500이상700만원 미만,2,6,22,20,20,0,60,0
53327224,20220921,M,30대,충청북도,300만원 미만,2,6,22,50,20,10,20,0
53327480,20220921,F,20대,충청북도,무응답,2,10,30,20,0,40,40,0
53327805,20220921,M,40대,경기도,300이상500만원 미만,2,3,16,70,10,10,10,0
53327891,20220921,F,40대,경상남도,300만원 미만,2,3,16,70,10,10,10,0
53327950,20220921,F,50대,서울특별시,700만원 이상,4,3,26,20,0,80,0,0
53327975,20220921,F,50대,서울특별시,300만원 미만,4,12,44,45,30,20,5,0
53328468,20220921,M,50대,서울특별시,500이상700만원 미만,3,10,35,50,20,10,20,0
53328489,20220921,M,20대,서울특별시,300이상500만원 미만,4,10,40,20,20,20,40,0
53328732,20220921,M,50대,경기도,700만원 이상,2,5,20,20,20,30,30,0
53328735,20220921,F,60대,인천광역시,500이상700만원 미만,4,3,26,10,50,20,20,0
53328834,20220921,M,30대,울산광역시,300이상500만원 미만,2,5,20,50,30,10,10,0
53328839,20220921,F,50대,경상북도,300만원 미만,4,5,30,30,50,20,0,0
53329023,20220921,F,50대,경상남도,300만원 미만,1,3,11,30,20,0,50,0
53329029,20220921,F,40대,경기도,500이상700만원 미만,1,3,11,100,0,0,0,0
53329080,20220921,M,40대,대구광역시,300만원 미만,2,3,16,80,20,0,0,0
53329140,20220921,M,40대,부산광역시,300만원 미만,1,4,13,30,5,5,60,0
53329243,20220921,F,20대,서울특별시,700만원 이상,1,5,15,50,20,0,30,0
53329254,20220921,M,50대,전라남도,700만원 이상,3,8,31,30,0,0,70,0
53329261,20220921,F,20대,대구광역시,300만원 미만,1,5,15,40,10,0,50,0
