RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322261,20220406,M,60대,서울특별시,300이상500만원 미만,2,8,26,50,30,0,20,0
53322284,20220406,M,50대,서울특별시,300이상500만원 미만,4,8,36,20,20,40,20,0
53322372,20220406,M,30대,경기도,300만원 미만,1,1,7,80,20,0,0,0
53322435,20220406,M,60대,서울특별시,무응답,2,5,20,50,10,15,25,0
53322536,20220406,F,40대,서울특별시,700만원 이상,3,4,23,0,30,20,50,0
53322603,20220406,M,60대,서울특별시,300이상500만원 미만,5,15,55,15,35,10,20,20
53322604,20220406,F,40대,서울특별시,300만원 미만,1,5,15,10,0,20,70,0
53322995,20220406,F,40대,서울특별시,500이상700만원 미만,2,5,20,20,0,0,80,0
53323135,20220406,M,40대,서울특별시,500이상700만원 미만,1,6,17,10,30,60,0,0
53323175,20220406,F,50대,서울특별시,300만원 미만,1,3,11,60,0,30,10,0
53323279,20220406,F,50대,서울특별시,700만원 이상,2,2,14,30,10,10,50,0
53323334,20220406,M,40대,서울특별시,500이상700만원 미만,2,10,30,90,0,0,10,0
53323419,20220406,M,60대,서울특별시,300이상500만원 미만,2,7,24,20,50,0,30,0
53323434,20220406,F,20대,서울특별시,500이상700만원 미만,3,5,25,50,30,10,10,0
53323480,20220406,M,20대,서울특별시,700만원 이상,2,5,20,60,30,0,10,0
53323774,20220406,M,50대,서울특별시,300이상500만원 미만,4,2,24,0,0,40,60,0
53324157,20220406,M,60대,서울특별시,300만원 미만,3,3,21,50,30,0,20,0
53324220,20220406,M,50대,서울특별시,300이상500만원 미만,2,5,20,35,35,10,20,0
53324296,20220406,M,40대,서울특별시,300이상500만원 미만,0,10,20,0,50,0,50,0
53324365,20220406,F,40대,서울특별시,300만원 미만,4,1,22,30,0,40,0,30
53324391,20220406,F,30대,서울특별시,500이상700만원 미만,4,12,44,40,30,20,10,0
53324447,20220406,F,20대,서울특별시,300만원 미만,3,5,25,20,0,0,80,0
53324459,20220406,M,30대,서울특별시,300만원 미만,1,6,17,10,50,0,40,0
53324524,20220406,F,40대,서울특별시,500이상700만원 미만,1,5,15,40,20,10,30,0
53324536,20220406,M,20대,서울특별시,무응답,16,16,112,70,10,10,10,0
53324541,20220406,F,30대,서울특별시,무응답,1,2,9,80,0,0,0,20
53324588,20220406,F,40대,서울특별시,300이상500만원 미만,1,2,9,80,0,0,0,20
53324765,20220406,M,60대,서울특별시,700만원 이상,3,4,23,20,30,20,30,0
53324828,20220406,M,60대,서울특별시,700만원 이상,2,2,14,30,20,0,50,0
53325138,20220406,F,40대,서울특별시,500이상700만원 미만,2,2,14,70,0,0,30,0
53325416,20220406,F,30대,강원도,300이상500만원 미만,2,4,18,40,60,0,0,0
53325453,20220406,F,60대,전라남도,300이상500만원 미만,3,2,19,10,30,10,50,0
53325694,20220406,M,50대,경기도,300이상500만원 미만,2,4,18,10,30,0,60,0
53325822,20220406,M,50대,충청남도,300이상500만원 미만,1,5,15,20,10,20,40,10
53325932,20220406,M,60대,경상북도,300만원 미만,2,3,16,40,5,5,50,0
53326148,20220406,M,50대,서울특별시,300만원 미만,1,1,7,80,5,5,10,0
53326150,20220406,F,20대,인천광역시,500이상700만원 미만,5,9,43,60,10,30,0,0
53326202,20220406,M,50대,울산광역시,700만원 이상,3,4,23,10,60,30,0,0
53326464,20220406,M,40대,경기도,500이상700만원 미만,1,7,19,30,20,10,10,30
53326479,20220406,F,50대,부산광역시,300이상500만원 미만,2,10,30,50,0,0,50,0
53326745,20220406,F,60대,대전광역시,500이상700만원 미만,8,12,64,20,30,20,20,10
53326793,20220406,M,60대,인천광역시,300만원 미만,1,3,11,20,10,50,20,0
53326916,20220406,M,60대,경기도,700만원 이상,2,4,18,20,20,20,40,0
53327067,20220406,F,50대,부산광역시,500이상700만원 미만,2,6,22,50,30,10,10,0
53327092,20220406,M,60대,경기도,300이상500만원 미만,5,7,39,20,30,0,50,0
53327107,20220406,F,50대,경기도,700만원 이상,4,2,24,40,30,0,30,0
53327434,20220406,F,30대,대전광역시,300이상500만원 미만,0,8,16,10,0,0,90,0
53327543,20220406,F,50대,경기도,500이상700만원 미만,1,2,9,10,50,30,10,0
53327573,20220406,F,20대,대전광역시,300이상500만원 미만,10,10,70,10,0,0,90,0
53327777,20220406,F,30대,강원도,700만원 이상,4,10,40,10,30,40,20,0
53327808,20220406,M,50대,울산광역시,700만원 이상,1,5,15,5,15,60,20,0
53327812,20220406,M,60대,부산광역시,500이상700만원 미만,4,6,32,20,0,30,50,0
53327902,20220406,F,50대,경기도,700만원 이상,1,4,13,10,20,20,50,0
53327942,20220406,F,20대,전라북도,무응답,4,5,30,10,60,30,0,0
53328038,20220406,F,20대,서울특별시,300만원 미만,3,12,39,50,30,20,0,0
53328055,20220406,F,60대,강원도,300이상500만원 미만,1,2,9,20,50,30,0,0
53328178,20220406,M,20대,충청남도,300이상500만원 미만,4,8,36,10,10,15,65,0
53328310,20220406,M,20대,서울특별시,300만원 미만,3,8,31,70,10,10,10,0
53328339,20220406,F,30대,울산광역시,300이상500만원 미만,1,3,11,70,0,20,10,0
53328350,20220406,M,30대,경상북도,500이상700만원 미만,4,12,44,30,50,0,20,0
53328516,20220406,F,20대,경기도,700만원 이상,1,3,11,50,0,40,10,0
53328672,20220406,M,30대,경기도,300만원 미만,1,5,15,100,0,0,0,0
53328819,20220406,F,50대,서울특별시,300이상500만원 미만,3,8,31,70,0,0,30,0
53328921,20220406,M,60대,광주광역시,700만원 이상,1,3,11,10,50,10,20,10
53329111,20220406,M,50대,제주특별자치도,700만원 이상,12,4,68,10,70,10,10,0
53329217,20220406,M,50대,경기도,700만원 이상,2,8,26,20,60,0,20,0
53329254,20220406,M,50대,전라남도,300이상500만원 미만,2,4,18,50,0,0,50,0
53329305,20220406,M,30대,경기도,300만원 미만,6,6,42,100,0,0,0,0
53329531,20220406,M,50대,경기도,700만원 이상,2,12,34,60,30,0,10,0
53329574,20220406,M,60대,부산광역시,300만원 미만,5,7,39,80,0,20,0,0
53329595,20220406,F,50대,대구광역시,300이상500만원 미만,1,5,15,30,50,10,10,0
53329648,20220406,F,30대,경상북도,300만원 미만,2,10,30,30,20,50,0,0
53329778,20220406,M,40대,부산광역시,500이상700만원 미만,8,10,60,60,0,10,30,0
53329910,20220406,M,40대,전라남도,300만원 미만,1,1,7,10,30,20,30,10
53330031,20220406,F,20대,경상북도,300만원 미만,3,12,39,60,5,5,30,0
53330067,20220406,M,40대,충청남도,300이상500만원 미만,4,12,44,20,20,10,50,0
53330200,20220406,F,30대,경기도,300만원 미만,1,3,11,70,0,0,30,0
53330261,20220406,M,50대,경상남도,300이상500만원 미만,1,4,13,50,30,10,10,0
53331012,20220406,M,40대,부산광역시,300이상500만원 미만,1,6,17,30,20,20,30,0
53331060,20220406,F,20대,경상남도,300이상500만원 미만,3,10,35,50,20,0,30,0
53331072,20220406,M,30대,경기도,300만원 미만,2,5,20,40,10,50,0,0
53331191,20220406,M,30대,경기도,300이상500만원 미만,2,8,26,40,10,0,50,0
53331253,20220406,M,30대,대구광역시,300이상500만원 미만,2,5,20,20,10,5,65,0
53331506,20220406,M,30대,세종특별자치시,300이상500만원 미만,3,8,31,50,25,5,15,5
53331543,20220406,F,20대,서울특별시,300이상500만원 미만,3,10,35,50,10,10,30,0
53331633,20220406,M,30대,충청남도,300만원 미만,2,4,18,10,60,10,20,0
53331752,20220406,M,30대,울산광역시,300만원 미만,4,4,28,60,20,10,10,0
53331771,20220406,M,40대,광주광역시,300이상500만원 미만,2,2,14,60,30,0,0,10
53331812,20220406,F,50대,서울특별시,무응답,1,3,11,15,30,40,15,0
53332031,20220406,F,20대,경기도,500이상700만원 미만,11,1,57,20,20,20,40,0
53332148,20220406,F,20대,인천광역시,500이상700만원 미만,5,8,41,69,1,0,30,0
53332241,20220406,F,50대,경기도,300만원 미만,3,7,29,30,50,20,0,0
53332262,20220406,M,40대,서울특별시,300이상500만원 미만,1,3,11,40,0,15,30,15
53332295,20220406,M,50대,경기도,500이상700만원 미만,3,3,21,0,0,0,0,100
53332370,20220406,F,50대,서울특별시,300만원 미만,2,6,22,0,50,30,20,0
53332409,20220406,M,60대,광주광역시,500이상700만원 미만,5,5,35,0,70,15,15,0
53332434,20220406,F,30대,대전광역시,300이상500만원 미만,2,10,30,0,0,0,0,100
53332445,20220406,F,50대,전라북도,300이상500만원 미만,2,4,18,20,30,0,50,0
53332652,20220406,M,50대,경기도,300이상500만원 미만,2,5,20,10,30,40,20,0
53332779,20220406,M,40대,광주광역시,300만원 미만,2,6,22,50,20,10,20,0
53332845,20220406,M,30대,경기도,300이상500만원 미만,2,10,30,40,10,10,40,0
53332873,20220406,M,60대,충청남도,300만원 미만,5,10,45,0,20,20,60,0
53332915,20220406,M,20대,경상북도,300이상500만원 미만,10,15,80,30,60,0,10,0
53332944,20220406,F,50대,부산광역시,300만원 미만,6,8,46,50,0,50,0,0
53333038,20220406,F,20대,경기도,700만원 이상,4,4,28,50,0,20,30,0
53333089,20220406,M,60대,전라남도,300만원 미만,4,15,50,50,20,0,0,30
53333093,20220406,F,40대,광주광역시,300만원 미만,3,12,39,70,10,10,10,0
53333138,20220406,F,50대,경기도,300만원 미만,1,1,7,80,0,0,20,0
53333253,20220406,M,60대,전라남도,300이상500만원 미만,4,2,24,20,30,10,40,0
53333383,20220406,M,60대,경상북도,300이상500만원 미만,3,3,21,20,30,10,20,20
53333472,20220406,M,50대,경상남도,300이상500만원 미만,1,7,19,30,70,0,0,0
53333510,20220406,F,40대,경상북도,300이상500만원 미만,10,9,68,90,0,0,10,0
53333702,20220406,M,20대,부산광역시,300만원 미만,2,4,18,50,10,10,30,0
53334073,20220406,F,50대,전라남도,무응답,2,10,30,0,0,30,0,70
53334099,20220406,M,50대,경기도,700만원 이상,2,5,20,10,50,0,40,0
53334229,20220406,F,60대,부산광역시,300만원 미만,2,3,16,10,10,40,40,0
53334514,20220406,F,50대,경기도,700만원 이상,4,6,32,40,10,5,45,0
53334551,20220406,F,20대,충청남도,300만원 미만,3,8,31,5,80,10,5,0
53334835,20220406,F,30대,경기도,300이상500만원 미만,4,15,50,30,20,20,30,0
53335001,20220406,M,60대,경기도,무응답,3,6,27,10,10,10,10,60
53335036,20220406,M,40대,울산광역시,300만원 미만,1,2,9,90,0,0,10,0
53335156,20220406,M,30대,인천광역시,300이상500만원 미만,3,8,31,10,30,10,50,0
53335194,20220406,F,50대,경상남도,700만원 이상,4,6,32,60,0,0,40,0
53335252,20220406,M,60대,강원도,300이상500만원 미만,2,6,22,20,80,0,0,0
53335297,20220406,F,60대,경상북도,300만원 미만,4,0,20,30,10,30,30,0
53335446,20220406,F,40대,경기도,300이상500만원 미만,3,4,23,0,70,0,30,0
53335465,20220406,F,50대,경기도,500이상700만원 미만,2,8,26,50,20,20,10,0
53335529,20220406,M,50대,부산광역시,500이상700만원 미만,5,10,45,70,20,0,10,0
53335553,20220406,F,60대,서울특별시,300만원 미만,2,5,20,50,0,0,50,0
53335586,20220406,F,60대,대전광역시,700만원 이상,4,8,36,10,70,10,10,0
53335750,20220406,M,20대,경기도,300이상500만원 미만,3,7,29,50,20,20,10,0
53335847,20220406,M,40대,대구광역시,500이상700만원 미만,2,8,26,90,0,0,10,0
53335855,20220406,F,40대,경기도,700만원 이상,2,5,20,50,0,0,50,0
53336025,20220406,F,30대,대구광역시,700만원 이상,3,12,39,20,10,10,60,0
53336031,20220406,F,40대,울산광역시,300만원 미만,6,1,32,25,50,10,15,0
53336033,20220406,M,20대,인천광역시,300만원 미만,10,10,70,100,0,0,0,0
53336184,20220406,F,60대,강원도,300만원 미만,1,3,11,10,20,15,50,5
53336294,20220406,F,30대,경상북도,700만원 이상,3,3,21,20,0,40,40,0
53336300,20220406,M,60대,서울특별시,700만원 이상,3,0,15,30,70,0,0,0
53336506,20220406,F,20대,인천광역시,무응답,1,12,29,30,50,10,10,0
53336662,20220406,M,50대,서울특별시,300이상500만원 미만,8,4,48,30,30,30,10,0
53336694,20220406,F,30대,경기도,500이상700만원 미만,3,8,31,70,0,30,0,0
53336710,20220406,M,20대,대전광역시,300만원 미만,3,7,29,20,20,40,20,0
53336754,20220406,F,50대,전라남도,300이상500만원 미만,2,6,22,40,10,20,30,0
53336795,20220406,F,40대,서울특별시,300이상500만원 미만,4,8,36,50,10,20,20,0
53336889,20220406,M,50대,대구광역시,500이상700만원 미만,4,6,32,30,20,30,20,0
53336952,20220406,M,20대,경기도,무응답,3,6,27,30,30,15,25,0
53336954,20220406,F,60대,전라남도,300만원 미만,7,5,45,50,0,0,50,0
53337079,20220406,F,50대,경기도,500이상700만원 미만,1,5,15,50,0,10,40,0
53337094,20220406,F,30대,경상북도,300이상500만원 미만,1,1,7,100,0,0,0,0
53337128,20220406,F,30대,서울특별시,500이상700만원 미만,2,10,30,80,10,5,5,0
53337240,20220406,M,60대,부산광역시,300만원 미만,2,6,22,70,10,10,10,0
53337427,20220406,F,40대,경상남도,300이상500만원 미만,2,8,26,50,50,0,0,0
53337431,20220406,F,30대,경기도,500이상700만원 미만,2,8,26,70,20,0,10,0
53337504,20220406,F,40대,경기도,500이상700만원 미만,4,8,36,90,0,10,0,0
53337649,20220406,M,40대,경기도,300만원 미만,6,10,50,20,50,0,30,0
53337861,20220406,M,30대,경기도,500이상700만원 미만,4,8,36,70,10,20,0,0
53337956,20220406,M,50대,인천광역시,500이상700만원 미만,3,3,21,50,10,0,30,10
53338262,20220406,F,30대,경기도,700만원 이상,10,16,82,10,5,0,85,0
53338476,20220406,M,40대,경기도,500이상700만원 미만,2,10,30,50,20,0,30,0
53338630,20220406,F,50대,서울특별시,300만원 미만,4,0,20,30,50,20,0,0
53338634,20220406,M,30대,서울특별시,700만원 이상,4,8,36,20,50,10,20,0
53338647,20220406,M,50대,부산광역시,300이상500만원 미만,4,10,40,100,0,0,0,0
53338747,20220406,M,30대,대구광역시,500이상700만원 미만,1,5,15,70,0,30,0,0
53338758,20220406,M,60대,대전광역시,300만원 미만,15,3,81,10,70,0,20,0
53338950,20220406,F,40대,경기도,300이상500만원 미만,3,8,31,55,25,10,10,0
53338962,20220406,M,30대,경기도,300이상500만원 미만,2,8,26,50,20,20,10,0
53338964,20220406,F,20대,강원도,300만원 미만,4,7,34,40,10,20,30,0
53338975,20220406,M,60대,서울특별시,500이상700만원 미만,3,8,31,50,50,0,0,0
53339051,20220406,F,60대,전라북도,300이상500만원 미만,2,3,16,10,80,0,10,0
