RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322304,20220629,F,60대,서울특별시,500이상700만원 미만,1,3,11,70,0,0,0,30
53322321,20220629,F,50대,서울특별시,700만원 이상,2,5,20,20,20,10,30,20
53322605,20220629,M,50대,경기도,500이상700만원 미만,3,8,31,70,0,0,30,0
53322684,20220629,F,60대,서울특별시,300만원 미만,5,7,39,30,30,20,20,0
53322759,20220629,M,30대,서울특별시,300이상500만원 미만,3,6,27,40,20,0,40,0
53322920,20220629,M,40대,서울특별시,300만원 미만,2,2,14,70,30,0,0,0
53322926,20220629,M,50대,서울특별시,300이상500만원 미만,3,2,19,50,20,10,10,10
53323126,20220629,F,50대,서울특별시,300만원 미만,8,4,48,20,20,20,40,0
53323191,20220629,F,50대,서울특별시,700만원 이상,1,2,9,50,0,0,30,20
53323193,20220629,F,40대,서울특별시,무응답,3,6,27,20,60,5,15,0
53323384,20220629,F,40대,서울특별시,700만원 이상,4,8,36,10,10,0,80,0
53323447,20220629,M,50대,서울특별시,700만원 이상,4,7,34,25,25,0,50,0
53323462,20220629,M,20대,서울특별시,무응답,6,10,50,20,20,60,0,0
53323471,20220629,M,20대,서울특별시,무응답,3,10,35,30,40,0,30,0
53323475,20220629,M,20대,서울특별시,500이상700만원 미만,2,6,22,30,30,10,30,0
53323719,20220629,F,60대,서울특별시,300이상500만원 미만,6,6,42,60,20,0,0,20
53323809,20220629,M,60대,서울특별시,700만원 이상,2,3,16,20,50,0,30,0
53323861,20220629,F,60대,서울특별시,300만원 미만,2,5,20,80,0,10,10,0
53324022,20220629,M,60대,서울특별시,300만원 미만,2,5,20,20,20,25,35,0
53324033,20220629,F,30대,서울특별시,300이상500만원 미만,3,8,31,60,0,10,30,0
53324286,20220629,F,40대,서울특별시,300이상500만원 미만,4,6,32,80,10,0,10,0
53324536,20220629,M,20대,서울특별시,무응답,6,12,54,70,20,0,10,0
53324663,20220629,F,60대,서울특별시,300만원 미만,3,5,25,10,5,10,40,35
53324922,20220629,F,20대,서울특별시,500이상700만원 미만,1,2,9,20,30,40,10,0
53325195,20220629,M,40대,서울특별시,700만원 이상,6,16,62,50,20,30,0,0
53325365,20220629,F,60대,서울특별시,300이상500만원 미만,1,2,9,50,0,0,50,0
53325373,20220629,M,30대,충청북도,700만원 이상,2,3,16,60,20,10,10,0
53325465,20220629,M,40대,대구광역시,300이상500만원 미만,1,5,15,60,0,30,10,0
53325599,20220629,M,30대,세종특별자치시,700만원 이상,2,8,26,20,20,20,40,0
53325668,20220629,M,40대,경기도,500이상700만원 미만,5,8,41,40,30,0,30,0
53325778,20220629,M,20대,인천광역시,300만원 미만,3,8,31,30,10,10,50,0
53325797,20220629,M,50대,울산광역시,500이상700만원 미만,2,4,18,25,35,10,30,0
53325801,20220629,M,30대,서울특별시,300이상500만원 미만,5,17,59,5,0,5,0,90
53325901,20220629,F,50대,경기도,300이상500만원 미만,4,8,36,30,10,10,10,40
53325915,20220629,F,40대,광주광역시,300이상500만원 미만,3,5,25,35,25,15,25,0
