RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322276,20220928,F,60대,서울특별시,700만원 이상,3,5,25,20,10,20,50,0
53322514,20220928,F,60대,서울특별시,700만원 이상,3,5,25,10,60,10,20,0
53322589,20220928,F,60대,서울특별시,300이상500만원 미만,4,4,28,10,30,40,20,0
53322682,20220928,M,60대,서울특별시,300이상500만원 미만,1,3,11,50,20,10,20,0
53322709,20220928,F,20대,서울특별시,300만원 미만,1,1,7,10,10,30,50,0
53322752,20220928,M,20대,서울특별시,300이상500만원 미만,5,12,49,30,0,0,0,70
53322870,20220928,M,20대,서울특별시,300이상500만원 미만,4,6,32,40,30,20,10,0
53322873,20220928,M,20대,서울특별시,700만원 이상,3,5,25,40,10,20,30,0
53323139,20220928,F,50대,서울특별시,300만원 미만,2,3,16,30,20,20,30,0
53323329,20220928,M,50대,서울특별시,700만원 이상,4,10,40,10,30,40,20,0
53323462,20220928,M,20대,서울특별시,300만원 미만,10,8,66,15,15,40,30,0
53323471,20220928,M,20대,서울특별시,무응답,4,4,28,50,0,0,50,0
53323475,20220928,M,20대,서울특별시,500이상700만원 미만,2,6,22,40,20,0,40,0
53323480,20220928,M,20대,서울특별시,700만원 이상,2,5,20,30,20,20,30,0
53323563,20220928,F,20대,서울특별시,300이상500만원 미만,16,18,116,50,30,10,10,0
53323591,20220928,M,40대,서울특별시,300이상500만원 미만,5,5,35,30,30,40,0,0
53323751,20220928,F,60대,서울특별시,500이상700만원 미만,6,10,50,30,0,10,0,60
53323860,20220928,M,50대,서울특별시,700만원 이상,2,1,12,30,40,10,20,0
53323932,20220928,M,60대,서울특별시,300이상500만원 미만,2,8,26,60,0,10,0,30
53324019,20220928,F,50대,서울특별시,700만원 이상,3,8,31,50,20,0,30,0
53324307,20220928,M,60대,서울특별시,300만원 미만,3,7,29,70,10,0,20,0
53324415,20220928,M,30대,서울특별시,700만원 이상,3,8,31,10,20,20,50,0
53324536,20220928,M,20대,서울특별시,700만원 이상,3,8,31,60,0,30,10,0
53324928,20220928,M,60대,서울특별시,300만원 미만,5,5,35,30,20,50,0,0
53324942,20220928,F,60대,서울특별시,300만원 미만,2,4,18,20,0,20,60,0
53325139,20220928,M,50대,서울특별시,300만원 미만,1,8,21,20,30,30,20,0
53325222,20220928,F,60대,서울특별시,500이상700만원 미만,4,5,30,50,0,50,0,0
53325602,20220928,M,40대,서울특별시,300이상500만원 미만,1,1,7,100,0,0,0,0
53325724,20220928,M,30대,서울특별시,300이상500만원 미만,1,0,5,20,0,0,0,80
53326147,20220928,F,50대,서울특별시,300이상500만원 미만,0,0,0,30,50,0,20,0
53326190,20220928,M,40대,대구광역시,300이상500만원 미만,1,8,21,50,0,0,0,50
53326210,20220928,F,40대,부산광역시,300이상500만원 미만,7,14,63,50,0,30,20,0
53326327,20220928,F,60대,경기도,300이상500만원 미만,2,3,16,0,100,0,0,0
53326370,20220928,M,30대,대전광역시,300만원 미만,1,3,11,80,0,10,10,0
53326464,20220928,M,40대,경기도,500이상700만원 미만,2,8,26,40,30,30,0,0
53326539,20220928,F,40대,울산광역시,500이상700만원 미만,2,3,16,20,15,15,0,50
53326683,20220928,M,30대,광주광역시,300만원 미만,5,6,37,90,0,10,0,0
53326866,20220928,F,60대,서울특별시,700만원 이상,3,3,21,50,20,30,0,0
53326867,20220928,M,50대,울산광역시,300만원 미만,3,4,23,30,10,40,20,0
53326929,20220928,M,40대,광주광역시,700만원 이상,1,5,15,70,10,20,0,0
53326951,20220928,M,50대,대구광역시,300이상500만원 미만,2,4,18,50,5,5,40,0
53327001,20220928,F,20대,서울특별시,300만원 미만,1,3,11,40,10,0,50,0
53327640,20220928,M,30대,충청남도,300이상500만원 미만,2,3,16,20,20,10,50,0
53327791,20220928,F,30대,전라북도,무응답,3,2,19,50,35,15,0,0
53327955,20220928,M,30대,경기도,300이상500만원 미만,2,2,14,80,10,5,5,0
