RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322216,20220622,M,30대,서울특별시,500이상700만원 미만,3,6,27,60,10,10,20,0
53322231,20220622,M,20대,서울특별시,300만원 미만,7,10,55,60,10,0,30,0
53322380,20220622,F,50대,서울특별시,700만원 이상,3,6,27,20,40,30,10,0
53322439,20220622,F,60대,서울특별시,700만원 이상,2,1,12,30,10,10,50,0
53322560,20220622,M,20대,서울특별시,300만원 미만,1,3,11,25,50,0,25,0
53322730,20220622,M,40대,서울특별시,700만원 이상,1,6,17,45,20,5,30,0
53322733,20220622,M,30대,서울특별시,300만원 미만,3,5,25,80,0,0,20,0
53322779,20220622,M,20대,서울특별시,무응답,4,12,44,40,0,30,30,0
53322977,20220622,F,60대,서울특별시,300이상500만원 미만,5,7,39,30,5,20,30,15
53322987,20220622,M,20대,서울특별시,700만원 이상,2,2,14,100,0,0,0,0
53323256,20220622,M,40대,서울특별시,500이상700만원 미만,8,12,64,10,80,2,8,0
53323328,20220622,F,60대,서울특별시,700만원 이상,5,10,45,20,20,20,40,0
53323332,20220622,M,60대,서울특별시,300만원 미만,2,10,30,10,5,30,50,5
53323363,20220622,M,60대,서울특별시,700만원 이상,4,4,28,0,20,30,0,50
53323421,20220622,M,20대,서울특별시,300이상500만원 미만,5,8,41,40,40,10,10,0
53323428,20220622,M,50대,서울특별시,300만원 미만,3,3,21,50,20,10,20,0
53323667,20220622,F,30대,서울특별시,무응답,0,4,8,25,25,25,25,0
53324067,20220622,M,60대,서울특별시,700만원 이상,1,4,13,40,20,5,35,0
53324078,20220622,M,40대,서울특별시,300이상500만원 미만,3,8,31,60,10,0,30,0
53324251,20220622,F,50대,서울특별시,700만원 이상,2,5,20,40,10,10,10,30
53324295,20220622,F,50대,서울특별시,300이상500만원 미만,3,10,35,60,0,20,20,0
53324425,20220622,M,30대,서울특별시,300이상500만원 미만,2,6,22,40,20,20,20,0
53324732,20220622,M,60대,서울특별시,300만원 미만,3,5,25,50,20,10,20,0
53324751,20220622,F,50대,서울특별시,700만원 이상,3,10,35,40,20,20,20,0
53324902,20220622,F,60대,서울특별시,700만원 이상,3,5,25,20,20,20,40,0
53324910,20220622,M,30대,서울특별시,700만원 이상,2,4,18,40,50,0,10,0
53325098,20220622,F,60대,서울특별시,500이상700만원 미만,3,4,23,40,0,0,60,0
53325247,20220622,F,50대,서울특별시,700만원 이상,1,3,11,80,0,0,20,0
53325282,20220622,F,60대,서울특별시,300이상500만원 미만,3,6,27,10,40,10,20,20
53325292,20220622,F,60대,서울특별시,700만원 이상,5,6,37,0,50,30,20,0
53325539,20220622,F,40대,경기도,300만원 미만,5,8,41,50,10,20,20,0
53325609,20220622,M,30대,서울특별시,300이상500만원 미만,2,6,22,10,10,30,50,0
53325661,20220622,M,30대,경기도,300이상500만원 미만,3,5,25,50,30,10,10,0
53325748,20220622,M,40대,경기도,500이상700만원 미만,2,16,42,50,10,10,30,0
53325800,20220622,F,60대,경기도,300만원 미만,1,1,7,40,5,35,20,0
53325809,20220622,F,40대,충청북도,300이상500만원 미만,5,8,41,0,50,10,40,0
53325838,20220622,F,30대,충청남도,700만원 이상,3,12,39,50,20,20,10,0
53325862,20220622,M,40대,경기도,300만원 미만,4,4,28,80,0,20,0,0
53325878,20220622,M,40대,제주특별자치도,500이상700만원 미만,2,3,16,50,30,0,20,0
53325974,20220622,M,40대,울산광역시,500이상700만원 미만,2,15,40,50,50,0,0,0
53326048,20220622,F,40대,전라북도,700만원 이상,1,2,9,50,0,0,50,0
53326147,20220622,F,50대,서울특별시,300이상500만원 미만,12,12,84,0,100,0,0,0
53326154,20220622,M,50대,전라북도,500이상700만원 미만,2,4,18,10,40,20,30,0
53326212,20220622,F,60대,서울특별시,300만원 미만,2,2,14,30,40,10,20,0
53326252,20220622,F,30대,경상북도,300이상500만원 미만,0,3,6,10,10,10,70,0
53326264,20220622,F,30대,경상남도,300만원 미만,1,1,7,50,0,0,50,0
53326265,20220622,F,40대,경기도,700만원 이상,4,8,36,20,20,20,40,0
53326347,20220622,F,30대,경상남도,700만원 이상,2,4,18,50,10,30,10,0
53326523,20220622,F,30대,광주광역시,500이상700만원 미만,4,8,36,55,10,25,10,0
53326667,20220622,M,60대,경상북도,300이상500만원 미만,1,2,9,20,10,10,30,30
53326850,20220622,F,30대,경기도,300만원 미만,1,4,13,50,0,0,50,0
53326908,20220622,F,50대,광주광역시,300이상500만원 미만,4,12,44,20,50,10,20,0
53326909,20220622,F,30대,전라북도,500이상700만원 미만,3,2,19,0,50,20,30,0
53326915,20220622,M,20대,경기도,700만원 이상,3,10,35,50,10,10,30,0
53326922,20220622,M,20대,울산광역시,무응답,1,10,25,100,0,0,0,0
53326956,20220622,M,60대,경기도,500이상700만원 미만,3,6,27,60,30,10,0,0
53327123,20220622,F,30대,부산광역시,300이상500만원 미만,4,5,30,60,0,0,40,0
53327245,20220622,F,50대,대구광역시,500이상700만원 미만,1,1,7,20,80,0,0,0
53327254,20220622,M,40대,강원도,500이상700만원 미만,1,6,17,20,20,10,40,10
53327319,20220622,F,40대,경기도,300이상500만원 미만,0,4,8,10,10,20,60,0
53327369,20220622,M,60대,전라북도,300이상500만원 미만,3,5,25,60,0,20,20,0
