RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322210,20220323,F,30대,서울특별시,500이상700만원 미만,4,12,44,40,30,10,20,0
53322315,20220323,F,20대,서울특별시,무응답,4,6,32,50,30,5,15,0
53322375,20220323,F,60대,서울특별시,500이상700만원 미만,3,3,21,20,0,0,60,20
53322444,20220323,F,20대,서울특별시,300만원 미만,2,5,20,40,10,40,10,0
53322456,20220323,M,60대,서울특별시,300만원 미만,2,8,26,20,0,0,80,0
53322636,20220323,F,50대,서울특별시,300이상500만원 미만,2,5,20,10,40,5,45,0
53322826,20220323,M,20대,서울특별시,300만원 미만,3,8,31,60,10,10,20,0
53323058,20220323,M,50대,서울특별시,무응답,2,2,14,30,30,20,20,0
53323113,20220323,M,50대,서울특별시,300만원 미만,2,5,20,80,0,0,20,0
53323260,20220323,M,40대,서울특별시,300이상500만원 미만,1,2,9,50,20,20,10,0
53323330,20220323,F,50대,서울특별시,500이상700만원 미만,4,10,40,30,10,10,50,0
53323386,20220323,F,50대,서울특별시,700만원 이상,1,7,19,40,50,0,10,0
53323421,20220323,M,20대,서울특별시,300이상500만원 미만,3,5,25,40,40,20,0,0
53323537,20220323,F,40대,서울특별시,700만원 이상,2,10,30,30,50,10,10,0
53323608,20220323,F,40대,서울특별시,300이상500만원 미만,3,3,21,30,30,20,20,0
53323644,20220323,M,30대,서울특별시,300이상500만원 미만,1,8,21,60,20,10,10,0
53323698,20220323,M,50대,서울특별시,300만원 미만,2,5,20,30,10,20,40,0
53323701,20220323,F,40대,서울특별시,300만원 미만,3,10,35,70,0,10,20,0
53324066,20220323,M,60대,서울특별시,300만원 미만,3,3,21,30,20,10,30,10
53324128,20220323,F,60대,서울특별시,700만원 이상,10,7,64,30,20,20,30,0
53324178,20220323,F,30대,서울특별시,700만원 이상,2,6,22,30,10,40,20,0
53324221,20220323,M,50대,서울특별시,700만원 이상,5,10,45,0,0,80,20,0
53324364,20220323,F,60대,서울특별시,300만원 미만,2,3,16,10,60,20,10,0
53324372,20220323,F,20대,서울특별시,300이상500만원 미만,1,6,17,15,10,5,10,60
53324751,20220323,F,50대,서울특별시,700만원 이상,2,4,18,40,30,20,10,0
53324929,20220323,M,50대,서울특별시,300만원 미만,3,5,25,10,20,0,70,0
53324998,20220323,F,60대,서울특별시,300이상500만원 미만,5,5,35,20,20,10,10,40
53325038,20220323,F,50대,서울특별시,300이상500만원 미만,1,2,9,60,20,10,10,0
53325068,20220323,M,20대,충청남도,300만원 미만,1,2,9,40,10,40,10,0
