RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322293,20220504,F,40대,서울특별시,300이상500만원 미만,2,5,20,50,30,10,10,0
53322438,20220504,M,60대,서울특별시,700만원 이상,2,10,30,60,20,0,20,0
53322901,20220504,F,60대,서울특별시,500이상700만원 미만,5,5,35,30,20,20,30,0
53323469,20220504,M,20대,서울특별시,300이상500만원 미만,4,4,28,20,30,10,40,0
53323594,20220504,M,30대,서울특별시,300만원 미만,3,12,39,50,10,10,30,0
53323769,20220504,M,50대,서울특별시,700만원 이상,3,6,27,20,20,15,45,0
53323862,20220504,M,60대,서울특별시,300이상500만원 미만,2,8,26,20,50,30,0,0
53324111,20220504,M,20대,서울특별시,무응답,1,4,13,50,0,0,50,0
53324165,20220504,F,40대,서울특별시,500이상700만원 미만,1,3,11,90,5,1,4,0
53324315,20220504,M,60대,서울특별시,300만원 미만,5,3,31,10,30,10,50,0
53324658,20220504,M,50대,서울특별시,500이상700만원 미만,1,1,7,30,70,0,0,0
53324755,20220504,M,60대,서울특별시,300만원 미만,3,15,45,40,40,0,20,0
53324797,20220504,M,50대,서울특별시,300이상500만원 미만,2,6,22,80,10,10,0,0
53324875,20220504,M,50대,서울특별시,700만원 이상,2,4,18,30,70,0,0,0
53324978,20220504,F,60대,서울특별시,700만원 이상,5,8,41,80,10,5,5,0
53324980,20220504,M,20대,서울특별시,500이상700만원 미만,4,8,36,70,0,0,30,0
53324988,20220504,M,60대,서울특별시,700만원 이상,2,5,20,10,40,40,10,0
53325114,20220504,F,60대,서울특별시,300만원 미만,1,5,15,100,0,0,0,0
53325134,20220504,F,60대,서울특별시,300이상500만원 미만,3,4,23,20,50,15,15,0
53325616,20220504,F,30대,충청북도,500이상700만원 미만,2,3,16,80,5,5,10,0
53325654,20220504,F,30대,전라북도,300이상500만원 미만,3,10,35,50,0,30,20,0
53325719,20220504,M,30대,대구광역시,300이상500만원 미만,2,5,20,50,20,10,20,0
53325814,20220504,M,30대,전라북도,300이상500만원 미만,3,5,25,0,10,0,30,60
53325955,20220504,F,40대,인천광역시,500이상700만원 미만,3,4,23,50,20,10,20,0
53326139,20220504,F,50대,서울특별시,300이상500만원 미만,1,1,7,20,20,10,50,0
53326162,20220504,F,60대,서울특별시,300만원 미만,2,5,20,50,20,0,30,0
53326284,20220504,M,50대,충청남도,700만원 이상,6,12,54,40,0,0,60,0
53326304,20220504,F,60대,부산광역시,700만원 이상,1,2,9,50,10,0,40,0
53326308,20220504,M,20대,경상북도,300이상500만원 미만,6,12,54,20,0,0,80,0
