RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322253,20220511,F,50대,서울특별시,700만원 이상,2,4,18,20,50,10,20,0
53322268,20220511,F,50대,서울특별시,700만원 이상,10,10,70,50,0,0,50,0
53322450,20220511,M,60대,서울특별시,500이상700만원 미만,3,3,21,40,30,30,0,0
53322896,20220511,F,50대,서울특별시,500이상700만원 미만,1,6,17,20,20,20,30,10
53323026,20220511,F,40대,서울특별시,300이상500만원 미만,2,4,18,50,40,10,0,0
53323090,20220511,F,60대,서울특별시,500이상700만원 미만,4,5,30,0,70,0,30,0
53323240,20220511,M,30대,서울특별시,500이상700만원 미만,2,6,22,10,50,5,35,0
53323322,20220511,M,50대,서울특별시,700만원 이상,1,3,11,80,20,0,0,0
53323401,20220511,F,60대,서울특별시,300만원 미만,3,5,25,0,20,20,60,0
53323433,20220511,F,50대,서울특별시,700만원 이상,2,5,20,50,5,10,10,25
53323571,20220511,M,30대,서울특별시,300이상500만원 미만,3,8,31,50,30,20,0,0
53323607,20220511,M,40대,서울특별시,500이상700만원 미만,1,6,17,20,0,0,0,80
53323713,20220511,F,50대,서울특별시,500이상700만원 미만,1,4,13,20,0,30,50,0
53323762,20220511,F,60대,서울특별시,500이상700만원 미만,2,3,16,30,10,20,30,10
53323833,20220511,M,50대,서울특별시,700만원 이상,6,6,42,50,0,50,0,0
53323853,20220511,M,40대,서울특별시,500이상700만원 미만,2,5,20,50,20,5,20,5
