RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322319,20220824,F,50대,서울특별시,500이상700만원 미만,4,6,32,40,10,30,20,0
53322352,20220824,F,50대,서울특별시,500이상700만원 미만,2,2,14,0,50,30,20,0
53322506,20220824,M,20대,서울특별시,300만원 미만,3,7,29,30,30,10,30,0
53322878,20220824,F,60대,서울특별시,300만원 미만,3,5,25,10,30,30,30,0
53322944,20220824,F,60대,서울특별시,300이상500만원 미만,1,2,9,40,10,20,30,0
53323093,20220824,F,40대,서울특별시,300만원 미만,5,7,39,70,20,0,10,0
53323108,20220824,M,60대,서울특별시,700만원 이상,1,5,15,25,20,15,40,0
53323152,20220824,M,60대,서울특별시,500이상700만원 미만,10,10,70,10,40,20,30,0
53323458,20220824,F,30대,서울특별시,500이상700만원 미만,1,1,7,0,0,0,0,100
53323610,20220824,F,20대,서울특별시,무응답,3,10,35,80,5,0,15,0
53323743,20220824,M,60대,서울특별시,300만원 미만,2,2,14,20,30,20,30,0
53323783,20220824,M,60대,서울특별시,300이상500만원 미만,3,3,21,50,40,0,10,0
53324052,20220824,M,30대,서울특별시,300만원 미만,2,10,30,80,10,0,10,0
53324111,20220824,M,20대,서울특별시,무응답,1,3,11,40,5,5,50,0
53324374,20220824,F,20대,서울특별시,700만원 이상,2,8,26,30,0,60,10,0
53324463,20220824,F,20대,서울특별시,무응답,4,7,34,50,20,20,10,0
53324627,20220824,M,20대,서울특별시,700만원 이상,2,10,30,50,30,10,10,0
53324658,20220824,M,50대,서울특별시,500이상700만원 미만,1,2,9,30,30,20,20,0
53324852,20220824,F,40대,서울특별시,300만원 미만,1,10,25,70,0,0,30,0
53324875,20220824,M,50대,서울특별시,700만원 이상,3,6,27,30,60,0,10,0
53324905,20220824,F,60대,서울특별시,300이상500만원 미만,2,5,20,10,20,30,0,40
53324945,20220824,M,60대,서울특별시,700만원 이상,1,10,25,50,50,0,0,0
53324965,20220824,F,60대,서울특별시,300만원 미만,2,3,16,25,35,0,0,40
53325134,20220824,F,60대,서울특별시,300이상500만원 미만,4,3,26,0,50,30,20,0
53325183,20220824,F,60대,서울특별시,700만원 이상,8,12,64,20,20,20,40,0
53325340,20220824,F,40대,서울특별시,300이상500만원 미만,2,1,12,30,30,20,20,0
53325371,20220824,F,60대,서울특별시,300만원 미만,2,4,18,10,30,10,40,10
53325478,20220824,M,30대,경기도,700만원 이상,5,12,49,20,30,0,0,50
53325574,20220824,F,40대,인천광역시,700만원 이상,2,5,20,10,20,10,60,0
53325692,20220824,M,30대,경기도,300이상500만원 미만,5,8,41,20,40,10,30,0
53325853,20220824,F,30대,대전광역시,500이상700만원 미만,2,8,26,50,0,10,40,0
53325857,20220824,F,40대,부산광역시,500이상700만원 미만,1,4,13,70,0,30,0,0
53325875,20220824,M,20대,경기도,500이상700만원 미만,2,5,20,50,10,0,40,0
53325912,20220824,F,40대,경상북도,300만원 미만,2,5,20,20,50,30,0,0
53325932,20220824,M,60대,경상북도,300만원 미만,2,2,14,50,0,0,50,0
53325975,20220824,F,40대,경상북도,300만원 미만,2,6,22,60,0,20,20,0
53325990,20220824,F,40대,인천광역시,700만원 이상,3,3,21,80,0,10,10,0
53326017,20220824,F,60대,충청북도,700만원 이상,5,5,35,40,50,0,10,0
53326040,20220824,M,30대,서울특별시,300이상500만원 미만,2,1,12,10,30,20,40,0
53326150,20220824,F,20대,인천광역시,500이상700만원 미만,8,10,60,50,10,30,10,0
53326175,20220824,F,40대,대구광역시,300이상500만원 미만,4,3,26,50,0,0,50,0
53326207,20220824,F,30대,충청북도,300만원 미만,6,14,58,60,20,0,20,0
53326276,20220824,M,60대,제주특별자치도,300이상500만원 미만,3,3,21,0,0,0,0,100
53326494,20220824,F,40대,강원도,700만원 이상,1,2,9,10,40,20,30,0
53326706,20220824,M,60대,서울특별시,300만원 미만,3,4,23,90,5,0,5,0
53326716,20220824,M,40대,경상북도,300이상500만원 미만,3,5,25,40,0,0,30,30
53326814,20220824,M,20대,충청남도,700만원 이상,3,5,25,50,50,0,0,0
53326924,20220824,M,30대,충청북도,300만원 미만,2,4,18,50,10,10,30,0
53326938,20220824,M,40대,부산광역시,500이상700만원 미만,2,2,14,70,30,0,0,0
53327044,20220824,M,20대,전라북도,300이상500만원 미만,2,3,16,20,20,20,40,0
53327110,20220824,M,40대,대전광역시,300이상500만원 미만,2,2,14,0,50,0,50,0
53327139,20220824,F,40대,충청북도,700만원 이상,1,3,11,30,30,0,40,0
53327142,20220824,M,30대,경기도,700만원 이상,2,2,14,30,20,30,20,0
53327393,20220824,M,60대,경상남도,300이상500만원 미만,3,6,27,80,10,5,5,0
53327421,20220824,M,20대,충청남도,500이상700만원 미만,3,6,27,70,10,0,20,0
53327490,20220824,F,20대,경기도,무응답,4,6,32,60,0,10,30,0
53327549,20220824,M,30대,경기도,300이상500만원 미만,5,9,43,80,0,0,20,0
53327584,20220824,M,60대,제주특별자치도,300만원 미만,3,15,45,80,20,0,0,0
53327634,20220824,M,50대,전라남도,700만원 이상,3,6,27,50,10,10,30,0
53327850,20220824,M,50대,경기도,300이상500만원 미만,2,4,18,40,40,20,0,0
53327922,20220824,F,50대,충청남도,700만원 이상,5,8,41,80,10,5,5,0
