RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322462,20220427,F,30대,서울특별시,700만원 이상,3,5,25,70,0,0,30,0
53322497,20220427,M,60대,서울특별시,700만원 이상,2,10,30,10,60,0,30,0
53322597,20220427,M,60대,서울특별시,700만원 이상,6,9,48,50,50,0,0,0
53322890,20220427,M,40대,서울특별시,700만원 이상,1,3,11,50,0,0,50,0
53322906,20220427,M,20대,서울특별시,300만원 미만,3,5,25,50,10,20,20,0
53323220,20220427,M,50대,서울특별시,300만원 미만,3,12,39,30,10,0,60,0
53323273,20220427,M,20대,서울특별시,300만원 미만,0,5,10,20,20,10,50,0
53323388,20220427,F,60대,서울특별시,700만원 이상,1,2,9,50,0,0,50,0
53323504,20220427,M,20대,서울특별시,300만원 미만,2,8,26,50,30,10,10,0
53323611,20220427,F,20대,서울특별시,700만원 이상,2,8,26,30,20,0,50,0
53324104,20220427,F,60대,서울특별시,300만원 미만,3,4,23,40,50,5,5,0
53324346,20220427,M,20대,서울특별시,300이상500만원 미만,2,9,28,50,0,0,50,0
53324446,20220427,M,20대,서울특별시,300만원 미만,2,4,18,70,10,0,20,0
53324930,20220427,F,50대,서울특별시,700만원 이상,2,4,18,30,10,10,50,0
53325020,20220427,M,60대,서울특별시,300만원 미만,4,12,44,20,70,0,10,0
53325039,20220427,F,20대,서울특별시,300이상500만원 미만,0,2,4,0,50,50,0,0
53325091,20220427,M,50대,서울특별시,300이상500만원 미만,4,6,32,40,30,10,20,0
53325157,20220427,F,30대,서울특별시,700만원 이상,6,7,44,40,20,0,40,0
53325193,20220427,F,60대,서울특별시,300만원 미만,1,3,11,50,0,0,50,0
53325235,20220427,F,60대,서울특별시,300이상500만원 미만,2,4,18,40,60,0,0,0
53325423,20220427,F,50대,강원도,700만원 이상,3,5,25,50,0,20,30,0
53325521,20220427,F,40대,경기도,500이상700만원 미만,1,3,11,60,15,15,10,0
53325699,20220427,M,60대,경기도,300만원 미만,8,8,56,0,20,80,0,0
53325726,20220427,M,30대,충청북도,500이상700만원 미만,4,8,36,20,40,20,20,0
53325740,20220427,M,60대,경기도,300이상500만원 미만,5,5,35,10,30,20,40,0
53325769,20220427,F,50대,경기도,700만원 이상,4,5,30,20,0,10,70,0
53326017,20220427,F,60대,충청북도,700만원 이상,5,3,31,30,40,0,30,0
53326098,20220427,F,60대,서울특별시,500이상700만원 미만,5,5,35,40,20,20,20,0
53326113,20220427,F,50대,서울특별시,700만원 이상,3,18,51,70,0,0,30,0
53326160,20220427,M,40대,서울특별시,500이상700만원 미만,2,10,30,30,50,10,10,0
53326178,20220427,F,40대,경상남도,700만원 이상,1,6,17,70,0,20,0,10
53326318,20220427,M,40대,서울특별시,500이상700만원 미만,1,4,13,50,50,0,0,0
53326362,20220427,M,30대,부산광역시,300이상500만원 미만,4,8,36,90,0,5,5,0
53326475,20220427,F,30대,울산광역시,300만원 미만,1,1,7,60,20,20,0,0
53326519,20220427,M,40대,광주광역시,300만원 미만,3,10,35,50,0,0,50,0
53326711,20220427,F,50대,제주특별자치도,300만원 미만,1,1,7,50,30,20,0,0
53327233,20220427,F,50대,인천광역시,300만원 미만,2,2,14,30,20,20,30,0
53327393,20220427,M,60대,경상남도,300이상500만원 미만,4,7,34,30,10,55,5,0
53327477,20220427,M,40대,경기도,700만원 이상,3,10,35,15,30,50,5,0
53327705,20220427,M,40대,전라남도,300이상500만원 미만,2,10,30,40,20,10,30,0
53327768,20220427,M,50대,경기도,700만원 이상,1,4,13,20,30,40,10,0
53328016,20220427,M,40대,서울특별시,300만원 미만,1,3,11,60,30,5,5,0
53328226,20220427,M,20대,서울특별시,500이상700만원 미만,2,8,26,10,20,30,40,0
53328274,20220427,M,40대,인천광역시,500이상700만원 미만,1,5,15,10,20,0,70,0
53328346,20220427,M,50대,서울특별시,700만원 이상,2,10,30,0,20,20,0,60
53328446,20220427,M,60대,부산광역시,300이상500만원 미만,5,5,35,40,40,0,20,0
53328468,20220427,M,50대,서울특별시,500이상700만원 미만,3,10,35,60,30,0,10,0
53328471,20220427,F,20대,경상남도,300이상500만원 미만,1,6,17,30,20,30,20,0
53328626,20220427,M,30대,경기도,700만원 이상,1,1,7,50,0,0,50,0
53328644,20220427,F,50대,경기도,300만원 미만,4,12,44,30,10,40,20,0
53328648,20220427,M,20대,경기도,300만원 미만,5,12,49,30,5,45,20,0
53328774,20220427,F,20대,대구광역시,300만원 미만,0,2,4,30,20,0,50,0
53328956,20220427,M,20대,대구광역시,300만원 미만,2,4,18,80,10,0,10,0
53328972,20220427,M,20대,서울특별시,무응답,4,5,30,55,15,15,15,0
53328978,20220427,M,30대,대전광역시,300만원 미만,8,12,64,80,5,5,10,0
53329069,20220427,F,40대,경기도,500이상700만원 미만,2,1,12,10,10,30,50,0
53329080,20220427,M,40대,대구광역시,300만원 미만,4,4,28,100,0,0,0,0
53329098,20220427,M,20대,부산광역시,700만원 이상,3,7,29,50,25,10,15,0
53329099,20220427,M,30대,경기도,500이상700만원 미만,2,8,26,50,20,0,30,0
53329138,20220427,M,50대,부산광역시,300이상500만원 미만,1,3,11,0,100,0,0,0
53329334,20220427,F,40대,부산광역시,300만원 미만,3,5,25,30,0,20,50,0
53329366,20220427,F,60대,경상남도,300이상500만원 미만,5,5,35,80,10,0,10,0
53329450,20220427,M,60대,서울특별시,300이상500만원 미만,5,10,45,0,50,0,50,0
53329485,20220427,F,60대,서울특별시,300만원 미만,2,4,18,30,0,0,30,40
53329719,20220427,M,30대,전라북도,300이상500만원 미만,1,3,11,50,0,10,10,30
53329802,20220427,M,50대,경상북도,500이상700만원 미만,2,8,26,0,40,0,60,0
53329826,20220427,F,50대,경기도,300이상500만원 미만,6,12,54,30,40,0,30,0
53330093,20220427,M,60대,강원도,300이상500만원 미만,5,5,35,20,10,0,70,0
53330173,20220427,M,60대,경상북도,300이상500만원 미만,1,5,15,10,5,5,70,10
53330308,20220427,F,50대,인천광역시,무응답,5,5,35,70,10,10,10,0
53330325,20220427,F,30대,경상남도,300이상500만원 미만,1,0,5,0,50,50,0,0
53330343,20220427,F,20대,경기도,300만원 미만,3,6,27,60,10,10,20,0
53330405,20220427,M,30대,부산광역시,700만원 이상,5,3,31,60,10,20,10,0
53330417,20220427,M,50대,전라남도,700만원 이상,4,8,36,30,30,20,20,0
53330438,20220427,F,20대,경상남도,700만원 이상,3,10,35,10,30,30,30,0
53330479,20220427,M,20대,부산광역시,무응답,7,12,59,100,0,0,0,0
53330484,20220427,F,20대,경기도,300이상500만원 미만,1,1,7,90,0,0,10,0
53330590,20220427,M,50대,충청북도,700만원 이상,2,8,26,40,30,0,30,0
53330625,20220427,M,40대,인천광역시,300이상500만원 미만,1,3,11,80,0,0,20,0
53330634,20220427,M,20대,전라북도,700만원 이상,7,18,71,30,15,5,50,0
53330719,20220427,M,40대,제주특별자치도,300이상500만원 미만,1,10,25,50,20,10,20,0
53330889,20220427,M,20대,충청북도,300이상500만원 미만,3,3,21,10,80,0,10,0
53330905,20220427,F,60대,경기도,300이상500만원 미만,5,7,39,40,10,10,10,30
53331069,20220427,M,30대,대구광역시,500이상700만원 미만,4,6,32,40,0,0,60,0
53331177,20220427,F,60대,광주광역시,700만원 이상,4,5,30,50,5,5,20,20
53331304,20220427,M,50대,경상북도,300이상500만원 미만,5,9,43,20,80,0,0,0
53331371,20220427,M,20대,경기도,500이상700만원 미만,10,12,74,80,0,20,0,0
53331395,20220427,F,30대,대전광역시,300만원 미만,1,3,11,40,20,20,20,0
53331440,20220427,M,50대,경기도,500이상700만원 미만,2,8,26,10,50,20,20,0
53331483,20220427,M,50대,경기도,700만원 이상,2,6,22,20,0,10,50,20
53331861,20220427,F,60대,경기도,300만원 미만,8,6,52,30,20,30,20,0
53331939,20220427,F,20대,부산광역시,300이상500만원 미만,5,12,49,10,40,10,40,0
53331947,20220427,M,60대,세종특별자치시,300이상500만원 미만,1,3,11,70,0,0,30,0
53332067,20220427,F,30대,경기도,700만원 이상,1,3,11,30,0,10,60,0
53332374,20220427,M,30대,경상남도,300이상500만원 미만,1,2,9,30,10,30,30,0
53332382,20220427,F,20대,경기도,무응답,4,6,32,50,6,4,40,0
53332642,20220427,F,40대,광주광역시,500이상700만원 미만,1,2,9,50,10,0,40,0
53332754,20220427,F,60대,경기도,300이상500만원 미만,2,2,14,40,30,0,30,0
53333015,20220427,M,60대,서울특별시,300이상500만원 미만,15,10,95,10,60,10,20,0
53333155,20220427,M,40대,부산광역시,300만원 미만,1,2,9,50,10,10,10,20
53333183,20220427,M,50대,경기도,300만원 미만,1,1,7,25,25,25,25,0
53333235,20220427,F,50대,경상남도,300만원 미만,5,5,35,50,0,40,10,0
53333403,20220427,M,40대,전라북도,500이상700만원 미만,0,3,6,10,5,0,80,5
53333421,20220427,F,40대,인천광역시,300이상500만원 미만,2,3,16,100,0,0,0,0
53333478,20220427,M,30대,인천광역시,500이상700만원 미만,2,5,20,50,20,20,10,0
53333551,20220427,M,40대,전라북도,300이상500만원 미만,3,2,19,10,60,20,10,0
53333569,20220427,F,30대,부산광역시,500이상700만원 미만,3,5,25,40,10,10,40,0
53333639,20220427,F,20대,경상남도,700만원 이상,1,3,11,0,10,70,20,0
53333809,20220427,M,50대,경기도,500이상700만원 미만,1,8,21,20,30,10,40,0
53333891,20220427,M,50대,충청남도,500이상700만원 미만,2,6,22,50,20,20,10,0
53333954,20220427,M,20대,서울특별시,700만원 이상,15,8,91,25,15,15,45,0
53334071,20220427,F,30대,경기도,300이상500만원 미만,10,15,80,90,0,10,0,0
53334240,20220427,F,50대,경상북도,500이상700만원 미만,3,4,23,30,5,20,45,0
53334321,20220427,M,60대,인천광역시,300만원 미만,2,3,16,20,10,10,10,50
53334400,20220427,F,20대,대구광역시,300만원 미만,2,8,26,20,20,10,50,0
53334404,20220427,F,50대,경기도,700만원 이상,4,6,32,30,20,30,20,0
53334495,20220427,F,50대,경기도,300이상500만원 미만,4,3,26,40,40,10,10,0
53334538,20220427,M,20대,광주광역시,300이상500만원 미만,2,4,18,100,0,0,0,0
53334661,20220427,F,30대,인천광역시,300만원 미만,2,4,18,30,10,10,50,0
53334831,20220427,F,40대,서울특별시,700만원 이상,2,3,16,0,0,30,20,50
53334936,20220427,M,20대,서울특별시,300이상500만원 미만,1,0,5,50,0,0,50,0
53334945,20220427,M,20대,부산광역시,300만원 미만,5,14,53,30,30,20,20,0
53334986,20220427,M,60대,광주광역시,300이상500만원 미만,4,5,30,20,20,20,40,0
53335006,20220427,F,50대,서울특별시,700만원 이상,1,6,17,30,40,10,20,0
53335095,20220427,F,50대,인천광역시,700만원 이상,5,10,45,30,30,20,20,0
53335107,20220427,M,30대,부산광역시,500이상700만원 미만,4,12,44,60,20,0,20,0
53335148,20220427,F,50대,경상북도,500이상700만원 미만,3,8,31,10,30,5,55,0
53335214,20220427,M,20대,서울특별시,500이상700만원 미만,3,5,25,20,0,0,80,0
53335248,20220427,F,40대,울산광역시,500이상700만원 미만,1,1,7,50,50,0,0,0
53335277,20220427,M,60대,경상남도,700만원 이상,1,2,9,100,0,0,0,0
53335314,20220427,M,30대,전라북도,300만원 미만,5,14,53,45,10,10,35,0
53335384,20220427,F,40대,인천광역시,700만원 이상,3,6,27,20,30,50,0,0
53335489,20220427,F,50대,서울특별시,500이상700만원 미만,4,4,28,0,0,40,60,0
53335668,20220427,F,60대,대구광역시,700만원 이상,2,4,18,20,20,40,10,10
53336119,20220427,F,30대,경기도,700만원 이상,3,5,25,20,20,20,40,0
53336125,20220427,F,40대,강원도,500이상700만원 미만,3,10,35,40,30,10,20,0
53336196,20220427,F,50대,경기도,500이상700만원 미만,3,5,25,10,50,10,30,0
53336254,20220427,F,50대,부산광역시,500이상700만원 미만,4,12,44,20,30,10,40,0
53336364,20220427,M,30대,경상남도,500이상700만원 미만,3,10,35,40,0,5,55,0
53336406,20220427,M,50대,경상북도,300만원 미만,2,5,20,40,0,20,40,0
53336617,20220427,M,60대,경기도,300만원 미만,3,10,35,20,40,25,15,0
53336738,20220427,F,20대,울산광역시,무응답,2,4,18,10,20,60,10,0
53336945,20220427,F,30대,전라북도,300만원 미만,1,1,7,40,30,10,20,0
53337093,20220427,M,30대,경기도,300만원 미만,2,4,18,10,40,30,20,0
53337098,20220427,M,50대,전라남도,500이상700만원 미만,4,8,36,10,10,60,20,0
53337145,20220427,F,60대,경기도,300만원 미만,2,6,22,50,0,0,50,0
53337169,20220427,F,30대,경기도,700만원 이상,2,5,20,20,30,10,40,0
53337313,20220427,M,30대,경기도,300만원 미만,1,6,17,10,60,10,20,0
53337347,20220427,F,40대,서울특별시,300만원 미만,1,3,11,10,10,70,10,0
53337404,20220427,M,40대,전라남도,300만원 미만,4,12,44,90,10,0,0,0
53337420,20220427,F,40대,경상북도,300만원 미만,1,3,11,40,0,30,30,0
53337424,20220427,F,50대,경기도,300이상500만원 미만,3,3,21,100,0,0,0,0
53337447,20220427,M,50대,부산광역시,500이상700만원 미만,2,8,26,50,10,10,30,0
53337521,20220427,M,60대,인천광역시,700만원 이상,1,3,11,30,30,10,30,0
53337615,20220427,F,40대,부산광역시,300만원 미만,5,5,35,75,5,10,10,0
53337724,20220427,M,60대,경기도,300만원 미만,2,5,20,10,10,40,40,0
53337831,20220427,M,20대,인천광역시,500이상700만원 미만,1,1,7,25,50,0,25,0
53337989,20220427,M,50대,경기도,300만원 미만,1,6,17,70,0,30,0,0
53338069,20220427,M,40대,서울특별시,300만원 미만,2,5,20,20,10,30,40,0
53338083,20220427,M,60대,경상북도,300이상500만원 미만,2,4,18,40,20,20,20,0
53338101,20220427,F,60대,울산광역시,300이상500만원 미만,2,3,16,50,10,20,20,0
53338111,20220427,F,50대,서울특별시,300만원 미만,10,15,80,20,20,30,30,0
53338133,20220427,M,50대,경기도,300이상500만원 미만,2,6,22,50,20,10,20,0
53338142,20220427,M,40대,세종특별자치시,300이상500만원 미만,2,1,12,10,10,20,60,0
53338274,20220427,F,30대,충청남도,700만원 이상,4,8,36,40,20,20,20,0
53338327,20220427,F,60대,경기도,700만원 이상,6,6,42,20,10,30,30,10
53338450,20220427,M,60대,대구광역시,700만원 이상,2,12,34,30,20,20,30,0
53338480,20220427,F,40대,울산광역시,300만원 미만,2,2,14,30,20,0,50,0
53338496,20220427,M,50대,대구광역시,300만원 미만,1,2,9,50,25,15,10,0
53338511,20220427,F,30대,경기도,700만원 이상,4,8,36,10,20,20,50,0
53338546,20220427,M,20대,경상남도,300만원 미만,0,8,16,50,0,0,50,0
53338835,20220427,F,40대,광주광역시,300이상500만원 미만,2,4,18,10,10,30,50,0
53339165,20220427,M,50대,경상북도,300이상500만원 미만,1,3,11,30,50,10,10,0
53339213,20220427,F,50대,서울특별시,700만원 이상,3,6,27,20,0,30,50,0
53339295,20220427,M,60대,대구광역시,300만원 미만,1,2,9,30,10,40,10,10
53339322,20220427,M,40대,제주특별자치도,300이상500만원 미만,3,8,31,40,10,0,50,0
