RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322197,20220330,M,30대,서울특별시,300이상500만원 미만,1,3,11,70,0,0,30,0
53322374,20220330,M,60대,서울특별시,500이상700만원 미만,2,8,26,30,20,0,50,0
53322823,20220330,M,40대,서울특별시,300이상500만원 미만,3,5,25,80,0,0,20,0
53322926,20220330,M,50대,서울특별시,500이상700만원 미만,4,2,24,30,50,10,10,0
53323174,20220330,F,60대,서울특별시,300만원 미만,3,6,27,0,50,20,30,0
53323415,20220330,M,40대,서울특별시,300만원 미만,15,10,95,30,30,20,20,0
53323466,20220330,M,20대,서울특별시,700만원 이상,2,2,14,0,80,0,20,0
53323475,20220330,M,20대,서울특별시,500이상700만원 미만,3,8,31,10,50,10,30,0
53323619,20220330,F,20대,서울특별시,300만원 미만,3,3,21,55,20,5,5,15
53323707,20220330,F,50대,서울특별시,500이상700만원 미만,3,4,23,50,10,30,10,0
53323716,20220330,F,60대,서울특별시,300이상500만원 미만,6,12,54,100,0,0,0,0
53323866,20220330,M,40대,서울특별시,300만원 미만,1,5,15,50,30,10,10,0
53324010,20220330,F,30대,서울특별시,700만원 이상,10,15,80,50,20,10,20,0
53324072,20220330,M,60대,서울특별시,700만원 이상,5,3,31,30,20,30,20,0
53324092,20220330,F,50대,서울특별시,700만원 이상,2,6,22,50,30,10,10,0
53324184,20220330,M,20대,서울특별시,500이상700만원 미만,3,4,23,70,10,10,10,0
53324461,20220330,F,20대,서울특별시,무응답,4,6,32,50,20,10,20,0
53324509,20220330,M,20대,서울특별시,300이상500만원 미만,2,5,20,50,50,0,0,0
53324630,20220330,M,60대,서울특별시,300만원 미만,2,6,22,30,20,20,30,0
53324849,20220330,M,60대,서울특별시,500이상700만원 미만,2,2,14,50,50,0,0,0
53325107,20220330,F,60대,서울특별시,300만원 미만,1,8,21,10,15,10,45,20
53325191,20220330,F,60대,서울특별시,700만원 이상,3,7,29,35,15,15,35,0
53325506,20220330,M,30대,부산광역시,300만원 미만,1,4,13,30,30,10,30,0
53325520,20220330,F,60대,경기도,300만원 미만,1,1,7,40,20,10,10,20
53325765,20220330,F,40대,경기도,500이상700만원 미만,3,5,25,10,40,10,40,0
53325891,20220330,M,40대,경기도,300만원 미만,2,5,20,100,0,0,0,0
53326100,20220330,M,40대,울산광역시,700만원 이상,2,2,14,40,10,25,25,0
53326234,20220330,M,40대,서울특별시,300이상500만원 미만,2,4,18,50,0,30,20,0
53326340,20220330,F,20대,경기도,무응답,3,10,35,60,20,15,5,0
53326509,20220330,F,50대,경기도,300이상500만원 미만,2,4,18,20,0,0,80,0
53326601,20220330,M,50대,경기도,300만원 미만,2,15,40,90,0,0,10,0
53326677,20220330,F,20대,광주광역시,300만원 미만,2,6,22,100,0,0,0,0
53326820,20220330,M,30대,서울특별시,500이상700만원 미만,1,2,9,50,0,50,0,0
53326862,20220330,M,40대,서울특별시,700만원 이상,2,2,14,50,0,0,50,0
53326895,20220330,F,60대,경기도,700만원 이상,1,5,15,60,0,40,0,0
53326978,20220330,M,50대,대구광역시,300이상500만원 미만,10,10,70,50,10,30,10,0
53327011,20220330,F,50대,경상북도,500이상700만원 미만,2,5,20,20,20,20,40,0
53327036,20220330,M,20대,경기도,무응답,7,15,65,50,10,10,30,0
53327063,20220330,F,50대,경기도,700만원 이상,2,1,12,20,20,40,10,10
53327111,20220330,F,50대,경상북도,700만원 이상,2,5,20,30,50,10,10,0
53327185,20220330,F,40대,대구광역시,500이상700만원 미만,3,5,25,20,10,10,60,0
53327332,20220330,M,30대,경상남도,300만원 미만,3,6,27,20,20,10,50,0
