RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322392,20220803,F,60대,서울특별시,300이상500만원 미만,6,5,40,40,0,30,30,0
53322445,20220803,F,60대,서울특별시,300만원 미만,4,0,20,30,40,30,0,0
53322914,20220803,F,50대,서울특별시,300만원 미만,2,5,20,20,0,30,50,0
53323248,20220803,F,60대,서울특별시,300이상500만원 미만,4,6,32,20,50,10,20,0
53323331,20220803,M,60대,서울특별시,300이상500만원 미만,2,4,18,30,20,10,40,0
53323652,20220803,F,40대,서울특별시,500이상700만원 미만,2,5,20,50,20,0,30,0
53323752,20220803,F,20대,서울특별시,300이상500만원 미만,2,8,26,90,10,0,0,0
53323767,20220803,F,60대,서울특별시,700만원 이상,1,2,9,40,10,0,30,20
53323865,20220803,M,60대,서울특별시,300만원 미만,4,6,32,0,80,20,0,0
53323903,20220803,F,30대,충청북도,500이상700만원 미만,5,3,31,50,20,10,20,0
53323931,20220803,F,50대,서울특별시,700만원 이상,4,1,22,20,60,10,10,0
53323952,20220803,F,60대,서울특별시,700만원 이상,2,3,16,20,20,30,30,0
53323991,20220803,M,40대,서울특별시,500이상700만원 미만,1,5,15,40,20,10,30,0
53324072,20220803,M,60대,서울특별시,700만원 이상,6,4,38,30,20,20,30,0
53324075,20220803,M,20대,서울특별시,300만원 미만,12,6,72,40,20,10,30,0
53324127,20220803,M,40대,서울특별시,300만원 미만,1,2,9,0,50,50,0,0
53324164,20220803,M,20대,경상남도,300만원 미만,1,8,21,70,0,20,10,0
53324371,20220803,F,20대,서울특별시,무응답,4,8,36,40,20,10,30,0
53324571,20220803,F,40대,서울특별시,300만원 미만,4,4,28,90,0,0,10,0
53324749,20220803,M,50대,강원도,300이상500만원 미만,2,4,18,0,0,0,100,0
53324858,20220803,F,60대,서울특별시,300만원 미만,1,2,9,100,0,0,0,0
53324998,20220803,F,60대,서울특별시,500이상700만원 미만,5,5,35,50,20,20,10,0
53325053,20220803,F,50대,서울특별시,500이상700만원 미만,3,5,25,50,10,10,30,0
53325170,20220803,M,60대,서울특별시,700만원 이상,2,12,34,60,10,10,20,0
53325171,20220803,F,20대,서울특별시,무응답,2,5,20,20,60,10,10,0
53325178,20220803,M,20대,서울특별시,300만원 미만,3,6,27,30,10,10,50,0
53325495,20220803,F,50대,경기도,700만원 이상,1,3,11,20,20,20,0,40
53325557,20220803,F,50대,경기도,500이상700만원 미만,6,8,46,20,10,60,10,0
53325651,20220803,M,40대,광주광역시,300이상500만원 미만,2,14,38,60,20,5,15,0
53325751,20220803,M,20대,광주광역시,무응답,2,5,20,80,0,10,10,0
53325820,20220803,M,60대,부산광역시,500이상700만원 미만,2,4,18,50,0,0,0,50
53325899,20220803,M,50대,서울특별시,300만원 미만,3,6,27,25,30,25,20,0
53325906,20220803,M,50대,전라남도,300이상500만원 미만,4,4,28,60,10,0,30,0
53326153,20220803,M,30대,경기도,300만원 미만,4,8,36,50,5,30,15,0
53326205,20220803,M,30대,경기도,700만원 이상,12,12,84,40,20,0,40,0
53326308,20220803,M,20대,경상북도,300이상500만원 미만,2,2,14,0,50,0,50,0
53326343,20220803,M,60대,경기도,300만원 미만,1,3,11,0,30,20,50,0
53326419,20220803,F,50대,울산광역시,700만원 이상,1,5,15,50,30,0,20,0
53326496,20220803,F,20대,부산광역시,300만원 미만,3,10,35,60,10,10,20,0
53326552,20220803,F,40대,충청남도,500이상700만원 미만,4,8,36,70,5,15,10,0
53326600,20220803,M,60대,인천광역시,500이상700만원 미만,1,1,7,15,30,15,40,0
53326724,20220803,F,60대,전라남도,300만원 미만,2,3,16,30,10,50,10,0
53326837,20220803,M,60대,강원도,300만원 미만,5,8,41,50,30,20,0,0
53327098,20220803,F,50대,대구광역시,500이상700만원 미만,3,8,31,20,80,0,0,0
53327099,20220803,M,50대,경상북도,300만원 미만,4,4,28,30,70,0,0,0
